fecha,id,g95,g98,gA
2026-02-21,10279,1.169,,1.088
2026-02-22,10279,1.169,,1.088
2026-02-23,10279,1.169,,1.088
2026-02-24,10279,1.169,,1.088
2026-02-25,10279,1.169,,1.088
2026-02-26,10279,1.169,,1.088
2026-02-27,10279,1.169,,1.088
2026-02-28,10279,1.169,,1.088
2026-03-01,10279,1.169,,1.088
2026-03-02,10279,1.169,,1.088
2026-03-03,10279,1.169,,1.088
2026-03-04,10279,1.189,,1.108
2026-03-05,10279,1.209,,1.128
2026-03-06,10279,1.209,,1.128
2026-03-07,10279,1.209,,1.128
2026-03-08,10279,1.209,,1.128
2026-03-09,10279,1.228,,1.148
2026-03-10,10279,1.248,,1.168
2026-03-11,10279,1.248,,1.168
2026-03-12,10279,1.248,,1.168
2026-03-13,10279,1.278,,1.198
2026-03-14,10279,1.278,,1.198
2026-03-15,10279,1.278,,1.198
2026-03-16,10279,1.278,,1.198
2026-03-17,10279,1.308,,1.228
2026-03-18,10279,1.328,,1.258
2026-03-19,10279,1.328,,1.258
2026-03-20,10279,1.353,,1.283
2026-03-21,10279,1.353,,1.283
2026-03-22,10279,1.353,,1.283
2026-03-23,10279,1.353,,1.283
2026-03-24,10279,1.378,,1.308
2026-03-25,10279,1.378,,1.308
2026-02-21,10280,1.169,,1.088
2026-02-22,10280,1.169,,1.088
2026-02-23,10280,1.169,,1.088
2026-02-24,10280,1.169,,1.088
2026-02-25,10280,1.169,,1.088
2026-02-26,10280,1.169,,1.088
2026-02-27,10280,1.169,,1.088
2026-02-28,10280,1.169,,1.088
2026-03-01,10280,1.169,,1.088
2026-03-02,10280,1.169,,1.088
2026-03-03,10280,1.169,,1.088
2026-03-04,10280,1.189,,1.108
2026-03-05,10280,1.209,,1.128
2026-03-06,10280,1.209,,1.128
2026-03-07,10280,1.209,,1.128
2026-03-08,10280,1.209,,1.128
2026-03-09,10280,1.228,,1.148
2026-03-10,10280,1.248,,1.168
2026-03-11,10280,1.248,,1.168
2026-03-12,10280,1.248,,1.168
2026-03-13,10280,1.278,,1.198
2026-03-14,10280,1.278,,1.198
2026-03-15,10280,1.278,,1.198
2026-03-16,10280,1.278,,1.198
2026-03-17,10280,1.308,,1.228
2026-03-18,10280,1.328,,1.258
2026-03-19,10280,1.328,,1.258
2026-03-20,10280,1.353,,1.283
2026-03-21,10280,1.353,,1.283
2026-03-22,10280,1.353,,1.283
2026-03-23,10280,1.353,,1.283
2026-03-24,10280,1.378,,1.308
2026-03-25,10280,1.378,,1.308
2026-02-21,10281,1.169,,1.088
2026-02-22,10281,1.169,,1.088
2026-02-23,10281,1.169,,1.088
2026-02-24,10281,1.169,,1.088
2026-02-25,10281,1.169,,1.088
2026-02-26,10281,1.169,,1.088
2026-02-27,10281,1.169,,1.088
2026-02-28,10281,1.169,,1.088
2026-03-01,10281,1.169,,1.088
2026-03-02,10281,1.169,,1.088
2026-03-03,10281,1.169,,1.088
2026-03-04,10281,1.189,,1.108
2026-03-05,10281,1.209,,1.128
2026-03-06,10281,1.209,,1.128
2026-03-07,10281,1.209,,1.128
2026-03-08,10281,1.209,,1.128
2026-03-09,10281,1.228,,1.148
2026-03-10,10281,1.248,,1.168
2026-03-11,10281,1.248,,1.168
2026-03-12,10281,1.248,,1.168
2026-03-13,10281,1.278,,1.198
2026-03-14,10281,1.278,,1.198
2026-03-15,10281,1.278,,1.198
2026-03-16,10281,1.278,,1.198
2026-03-17,10281,1.308,,1.228
2026-03-18,10281,1.328,,1.258
2026-03-19,10281,1.328,,1.258
2026-03-20,10281,1.353,,1.283
2026-03-21,10281,1.353,,1.283
2026-03-22,10281,1.353,,1.283
2026-03-23,10281,1.353,,1.283
2026-03-24,10281,1.378,,1.308
2026-03-25,10281,1.378,,1.308
2026-02-21,10324,1.169,,1.088
2026-02-22,10324,1.169,,1.088
2026-02-23,10324,1.169,,1.088
2026-02-24,10324,1.169,,1.088
2026-02-25,10324,1.169,,1.088
2026-02-26,10324,1.169,,1.088
2026-02-27,10324,1.169,,1.088
2026-02-28,10324,1.169,,1.088
2026-03-01,10324,1.169,,1.088
2026-03-02,10324,1.169,,1.088
